"OTU_ID","beta_season_mean","guild","gllvm_season"
"OTU441",0.119,"plant_associated",39.3005768148357
"OTU445",-0.095,"dark_unassigned",-3.68439984424986
"OTU45",-0.343,"plant_associated",-0.0607822438386415
"OTU457",-0.236,"dung_saprotroph",-19.5818541335919
"OTU46",-0.262,"dark_unassigned",-4.87960524714435
"OTU483",0.365,"plant_associated",11.90789819507
"OTU502",-0.197,"other",-4.17269434698556
"OTU51",0.312,"dark_unassigned",36.0533285557357
"OTU523",-0.153,"plant_associated",-8.275003330803
"OTU527",0.204,"other",42.463585228206
"OTU537",-0.403,"pathotroph",-17.4056411920531
"OTU542",0.069,"plant_associated",10.9338838351697
"OTU55",0.199,"plant_associated",5.0278121860227
"OTU552",-0.13,"dark_unassigned",13.4173171050284
"OTU554",-0.355,"plant_associated",-2.44702560488708
"OTU564",0.226,"dark_unassigned",27.8273251616827
"OTU573",-0.098,"plant_associated",-5.41706948635776
"OTU589",-0.031,"dark_unassigned",30.3880932294344
"OTU591",0.195,"pathotroph",28.2418822565364
"OTU594",-0.605,"plant_associated",-8.40504542964266
"OTU618",0.307,"other",31.1690992242681
"OTU62",0.132,"other",12.230770721094
"OTU626",0.266,"other",35.3834888356241
"OTU628",0.054,"other",4.20053788093083
"OTU632",0.124,"other",1.92339746178132
"OTU636",1.102,"dung_saprotroph",17.2246034322505
"OTU637",-0.966,"dark_unassigned",-6.42819528317218
"OTU638",-0.207,"other",0.368303555834625
"OTU651",0.376,"dark_unassigned",36.2113834117325
"OTU749",0.268,"other",36.4371611586691
"OTU758",0.33,"plant_associated",4.98702278163061
"OTU776",0.261,"other",47.3160504102216
"OTU807",0.005,"dark_unassigned",25.721497355601
"OTU827",-0.78,"dark_unassigned",-8.48039523244057
"OTU846",-0.041,"other",11.8991994358146
"OTU874",0.358,"dark_unassigned",41.7978870045473
"OTU9",-0.289,"plant_associated",-0.754514374149221
"OTU911",-0.825,"dark_unassigned",-13.3488145912457
"OTU92",0.526,"dung_saprotroph",0.41875336642263
"OTU97",-0.066,"dark_unassigned",7.42503515420116
